userid,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116
21343,2,3,4,3,3,3,2,3,3,3,3,3,4,4,4,3
1483,5,2,1,1,2,3,3,1,1,5,1,2,2,2,2,1
25455,1,1,3,1,5,2,1,1,1,1,2,1,4,1,2,1
18111,2,3,4,2,5,5,2,1,1,2,2,1,4,5,2,2
30487,4,3,3,4,2,5,2,5,2,5,4,2,5,2,2,3
5946,2,2,3,2,2,4,1,2,2,4,1,1,3,1,1,1
34381,1,2,4,4,4,1,2,3,1,1,4,1,3,2,4,4
26991,3,2,4,4,2,5,4,4,3,1,3,5,5,5,4,3
9791,3,3,3,3,4,4,4,3,3,3,3,1,4,3,3,4
18884,1,3,2,2,4,2,4,4,3,1,2,1,1,2,4,4
24329,3,4,5,3,2,4,2,4,1,3,4,4,4,2,5,3
22434,2,4,4,4,3,3,3,3,2,1,1,5,4,2,3,2
25131,2,2,3,1,4,5,5,4,2,5,5,2,5,3,3,5
21772,2,2,3,2,2,4,1,4,2,1,3,1,5,5,4,5
27235,1,3,3,5,4,5,5,3,4,5,4,1,3,5,5,5
32870,4,2,5,4,1,3,1,3,3,3,5,3,4,4,2,3
33737,2,4,4,3,4,5,3,4,3,3,3,2,4,5,3,5
19211,1,1,1,2,3,3,2,2,1,1,1,3,5,1,2,1
7286,3,3,3,4,3,3,3,3,3,2,3,3,3,3,3,4
19103,4,2,1,1,3,1,4,3,3,2,3,2,2,1,2,3
20180,2,3,4,2,3,4,3,5,4,3,5,2,4,4,5,5
8139,2,2,1,2,3,3,2,3,2,3,2,2,3,1,2,3
25456,3,3,3,2,3,4,2,3,2,3,4,2,4,4,3,3
4260,1,1,2,1,1,5,5,2,3,5,2,2,5,4,2,3
2657,2,1,1,2,3,5,3,5,2,1,1,1,2,1,2,4
25355,1,4,3,2,2,4,3,2,3,4,4,2,4,4,5,2
14584,2,3,3,3,4,4,3,4,3,5,2,1,4,3,4,3
12953,1,3,3,2,5,4,1,5,1,1,4,1,2,5,4,2
23437,2,3,2,2,3,3,3,4,3,2,4,1,3,2,4,4
5690,1,2,2,2,3,4,4,4,1,3,3,3,2,4,3,1
22435,4,3,4,4,4,4,4,4,3,3,3,4,4,4,5,4
5621,5,5,5,3,5,4,5,3,4,3,1,4,2,4,4,5
28125,4,3,5,4,4,2,2,2,4,3,3,3,3,2,4,5
37553,1,2,2,1,1,3,1,3,1,1,3,2,1,3,1,4
17651,2,2,2,3,2,4,3,3,3,2,3,2,4,3,4,2
23992,2,2,3,3,3,4,2,3,2,3,2,2,3,3,3,3
30370,3,3,3,3,3,5,5,3,2,3,1,2,2,2,4,4
24352,2,4,4,5,5,5,3,3,5,2,1,1,2,2,4,2
31730,1,1,3,2,3,5,1,1,1,1,1,1,2,1,1,1
30624,3,3,5,4,5,5,3,1,3,1,5,1,5,4,2,1
23362,2,3,1,2,3,5,2,4,3,3,1,2,2,2,2,2
33080,5,1,1,1,1,5,3,4,3,4,1,2,5,3,1,1
10859,1,2,4,3,5,3,3,3,2,3,2,2,2,4,3,2
30288,2,3,4,2,5,5,5,3,3,3,5,3,4,4,5,3
18860,3,2,2,1,3,4,2,4,4,5,3,3,3,3,1,3
35496,3,3,5,4,3,5,2,4,3,3,2,2,3,3,3,2
9540,4,4,4,2,5,5,3,2,2,1,5,2,2,3,3,4
1348,3,4,1,3,4,5,4,5,4,4,3,4,4,4,4,5
30850,2,2,2,1,2,3,2,3,3,3,2,2,3,2,2,2
37259,4,4,4,3,4,4,3,3,3,4,1,3,3,2,4,2
13957,2,2,2,2,2,3,3,3,3,3,3,4,4,2,3,4
18782,4,4,5,3,5,5,3,5,3,5,5,2,5,4,4,4
2530,2,2,2,4,1,4,2,2,2,4,4,2,3,3,3,4
5200,3,2,3,4,2,5,3,3,3,2,1,1,2,2,3,3
