userid,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23
2601,4,5,5,5,2,2,2,3,2,4,2,2,2,2,2,2,2,1,4,4,3,2,2
21343,4,4,2,2,3,2,1,3,1,2,2,3,1,2,1,2,2,3,4,4,2,3,3
1483,4,4,4,4,3,3,3,2,2,2,3,3,2,4,1,3,3,3,2,4,3,3,3
25455,5,5,1,2,1,2,1,5,1,5,3,1,1,1,1,1,1,2,3,4,2,1,1
18111,4,5,3,2,1,1,1,3,1,1,4,1,1,1,1,1,1,5,3,4,4,2,4
30487,4,5,2,3,1,4,3,5,3,1,3,3,3,2,2,4,2,5,5,4,4,2,2
5946,4,4,2,2,1,1,2,2,1,2,3,1,1,1,1,1,1,3,4,3,3,2,2
34381,4,4,3,5,2,2,1,1,1,2,3,2,1,1,1,1,1,4,4,1,3,4,3
26991,5,5,4,3,1,3,4,1,1,1,4,5,1,1,1,1,1,5,5,5,4,3,3
18884,4,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,4,1,1
24329,5,4,3,3,3,2,2,4,1,3,3,3,1,1,1,1,3,5,4,4,4,2,5
22434,3,5,4,4,1,2,2,3,2,2,4,2,1,3,1,4,2,2,4,5,3,2,1
25131,5,5,4,3,4,4,4,2,3,5,2,1,3,2,4,5,2,4,4,5,3,2,4
21772,4,2,3,5,2,5,1,3,1,1,4,1,1,3,1,1,2,1,4,5,4,3,2
27235,5,2,5,2,1,2,2,1,4,1,1,4,1,1,5,1,1,4,2,5,3,2,4
32870,4,2,3,3,3,4,4,1,3,3,3,1,1,2,2,2,2,3,2,5,2,2,1
33737,4,3,3,5,3,3,3,2,3,3,3,3,3,3,3,3,4,4,5,4,4,3,1
19211,2,4,4,3,1,4,2,1,1,1,2,2,1,1,1,1,1,5,1,2,3,1,2
7286,4,4,3,3,2,3,3,3,2,2,2,2,2,3,2,2,2,3,4,3,3,2,2
19103,5,4,2,4,2,3,3,4,2,3,4,3,2,3,3,3,3,4,5,3,3,3,3
20180,4,4,2,3,1,2,1,2,2,1,4,1,2,3,1,2,2,4,5,5,5,4,4
8139,4,4,3,3,3,3,3,5,3,3,3,4,4,2,2,1,3,5,5,2,2,2,4
25456,4,4,3,2,2,3,3,2,2,1,2,3,2,2,2,2,3,3,4,4,2,1,2
4260,4,3,2,5,4,2,5,1,1,1,5,2,2,5,1,1,3,5,4,5,5,2,2
2657,1,1,2,5,3,2,3,4,2,1,4,2,3,2,1,2,4,5,5,5,2,2,1
25355,5,4,3,2,2,3,2,1,1,1,2,2,2,3,2,2,2,5,2,4,2,2,3
3668,5,2,1,4,1,1,2,1,1,1,3,1,1,1,1,3,1,5,3,3,3,1,2
14584,4,4,3,4,1,3,3,3,1,1,3,2,2,3,1,3,3,4,3,5,3,1,3
12953,3,2,2,4,1,2,2,1,1,1,2,1,2,2,2,3,2,4,3,3,4,2,3
23437,3,2,3,4,4,5,4,1,4,3,4,5,1,4,2,2,4,3,2,5,4,3,3
5690,3,3,3,3,4,2,2,2,3,2,3,2,3,2,2,2,3,3,2,5,3,2,3
22435,5,4,3,4,3,4,5,2,4,5,3,3,4,4,3,3,5,5,4,5,4,4,3
5621,3,5,4,3,4,4,3,4,2,2,5,4,4,4,2,4,3,5,5,5,4,4,3
28125,5,1,1,2,1,1,2,3,2,1,2,1,1,1,1,1,1,4,3,3,3,1,1
37553,3,4,2,1,1,1,2,1,1,1,4,1,1,1,1,2,1,4,2,4,2,1,4
17651,5,4,2,2,2,2,3,3,2,1,3,1,1,2,2,2,2,4,3,3,5,3,5
23992,4,2,2,2,4,3,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
30370,3,5,3,2,1,1,2,2,3,3,2,2,2,2,2,2,2,3,4,3,3,3,4
24352,4,4,5,5,2,1,1,5,1,1,4,1,1,1,1,1,2,5,5,4,4,2,5
31730,3,4,1,1,1,1,2,4,1,1,2,1,1,1,1,1,1,4,3,1,2,1,1
30624,5,5,1,3,1,1,1,3,1,1,4,1,1,1,1,1,1,5,5,4,3,3,2
23362,2,5,4,3,3,3,3,4,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2
33080,4,4,5,4,4,3,3,4,2,3,4,5,5,4,1,3,3,5,5,5,5,2,2
10859,5,3,2,2,2,3,2,3,3,3,3,2,2,3,2,2,3,2,4,4,4,3,2
30288,3,2,3,3,1,1,1,1,1,1,2,1,1,1,1,1,1,4,3,5,3,3,4
18860,4,3,3,2,2,2,3,1,2,1,1,2,1,3,1,2,2,3,3,5,3,1,2
35496,3,5,3,3,1,3,4,5,3,2,3,3,2,3,2,1,1,2,4,3,3,4,4
9540,4,3,2,4,2,3,1,2,2,2,3,3,1,4,1,1,1,5,5,5,5,2,5
1348,3,3,3,4,3,5,3,1,3,3,3,3,2,2,1,3,1,3,4,5,5,3,4
30850,3,3,3,2,2,2,2,1,2,3,4,2,2,3,2,2,3,3,3,3,3,2,2
37259,2,4,1,3,2,3,2,3,2,1,4,2,2,2,3,3,3,3,5,5,2,3,3
13957,3,5,4,1,1,1,3,2,1,1,3,1,1,1,1,2,1,3,2,4,3,3,3
2530,3,2,3,4,2,3,4,1,3,2,3,4,4,4,4,2,3,2,5,5,5,2,5
5200,3,3,4,4,2,4,4,4,2,3,4,1,2,2,3,3,4,4,3,1,2,3,2
