00035-00000002.soc;00035-00000003.soc;00035-00000004.soc;00035-00000005.soc;00035-00000006.soc;00035-00000007.soc
7,2,15,3,6,9,10,5,1,8,11,14,12,13,4;7,2,15,3,6,9,10,5,1,8,11,14,12,13,4;7,2,15,3,6,9,10,5,1,8,11,14,12,13,4;2,10,7,15,3,6,9,5,1,8,11,14,12,13,4;7,2,10,15,3,6,9,5,1,11,14,8,12,13,4;7,15,3,6,10,2,9,5,1,11,14,12,13,8,4
2,3,6,7,14,15,9,8,12,11,1,5,13,10,4;2,3,6,7,14,10,9,8,15,11,1,12,5,4,13;2,7,3,15,5,10,6,9,11,8,1,14,12,13,4;2,7,10,15,3,5,9,6,11,8,1,14,13,12,4;7,2,10,9,3,15,6,5,1,14,11,12,13,8,4;3,7,1,15,11,14,12,13,6,10,2,8,4,5,9
2,9,12,4,5,6,15,14,13,11,7,1,8,3,10;2,10,9,3,14,12,6,15,7,4,5,11,13,8,1;2,10,9,3,14,12,6,15,7,4,5,11,13,8,1;2,10,9,3,14,12,6,15,7,4,5,11,13,8,1;2,10,9,3,4,12,6,15,7,14,5,11,13,8,1;12,14,6,15,4,11,13,2,5,1,7,9,8,10,3
14,12,11,5,4,13,9,8,15,7,2,6,1,3,10;2,15,5,8,9,4,11,12,14,13,7,6,1,3,10;2,5,4,8,9,7,11,12,13,14,15,6,1,3,10;2,5,4,8,9,7,11,12,13,14,15,6,1,3,10;14,12,13,11,4,5,8,9,7,15,2,6,1,3,10;14,12,13,11,4,5,8,9,7,15,2,6,1,3,10
4,12,14,5,11,13,6,3,9,8,2,1,10,7,15;9,8,2,10,3,12,14,11,4,5,13,1,6,7,15;14,12,11,13,5,9,8,15,4,1,3,6,2,10,7;14,12,11,13,5,9,8,15,4,1,3,6,2,10,7;14,12,4,11,5,8,9,1,6,13,3,2,10,15,7;4,13,11,12,14,1,5,8,9,6,15,3,2,10,7
13,14,6,3,5,11,9,12,8,15,7,2,10,4,1;2,10,3,15,7,9,8,6,14,13,12,5,11,4,1;6,3,14,13,12,9,8,2,10,5,11,15,7,4,1;3,15,7,2,10,6,9,8,14,12,5,11,13,4,1;6,3,14,9,8,13,11,5,12,15,7,2,10,4,1;12,13,14,6,3,5,11,9,8,15,7,2,10,4,1
12,14,4,13,11,6,1,3,10,2,9,8,5,15,7;10,2,3,9,8,7,15,5,6,12,14,11,4,13,1;10,2,3,9,8,5,6,12,14,11,4,13,1,15,7;10,2,3,9,8,15,7,5,6,12,14,11,4,13,1;12,14,4,13,11,6,1,3,10,2,9,8,5,15,7;12,14,11,4,13,1,5,10,2,3,9,8,6,15,7
6,14,12,4,11,3,1,9,8,5,15,2,10,13,7;9,8,2,10,3,15,7,6,14,12,5,11,4,1,13;12,14,9,8,2,10,3,15,6,11,4,5,1,13,7;2,10,8,9,3,15,6,11,5,14,12,4,1,13,7;6,14,12,4,11,3,1,9,8,5,15,2,10,13,7;4,12,14,13,6,3,15,1,8,9,11,2,10,5,7
11,1,12,13,4,9,7,3,2,8,10,6,14,15,5;2,7,10,3,9,8,12,6,13,4,1,11,14,15,5;2,10,3,9,8,1,12,11,13,4,7,14,6,15,5;1,11,12,13,4,14,9,8,6,5,15,7,2,3,10;12,11,13,4,1,14,9,8,6,7,2,3,10,5,15;1,12,13,4,11,14,9,8,6,7,2,10,3,5,15
12,8,13,6,15,4,14,11,5,1,2,10,9,7,3;8,7,3,10,9,15,2,13,4,5,12,6,14,11,1;7,8,15,6,9,10,3,13,4,14,5,11,12,2,1;8,3,9,10,2,15,6,5,13,4,12,14,11,7,1;12,13,6,5,14,11,15,3,4,7,8,9,10,2,1;12,13,6,5,14,11,15,3,4,7,8,9,10,2,1
2,3,5,9,7,8,11,13,14,4,12,1,10,15,6;2,3,5,15,7,8,9,10,13,11,14,6,12,4,1;1,12,14,13,11,5,4,3,9,8,6,15,2,7,10;2,3,7,8,9,10,15,5,4,13,6,11,14,12,1;1,12,14,11,5,4,13,6,15,3,10,9,8,7,2;2,1,12,14,11,5,4,13,6,15,3,9,10,8,7
4,11,14,13,6,12,9,8,15,3,5,2,10,1,7;2,10,3,5,9,8,6,15,13,1,7,11,4,14,12;10,2,5,9,8,3,6,15,7,13,4,11,1,12,14;10,2,9,8,5,3,15,6,7,1,11,13,4,12,14;9,8,6,5,13,4,2,10,3,11,15,14,12,1,7;4,13,11,14,12,6,5,15,9,8,2,10,3,1,7
3,5,14,9,6,2,11,8,13,12,15,10,4,1,7;3,5,6,11,9,8,12,2,4,10,13,1,7,14,15;8,11,5,3,2,6,13,4,1,7,9,10,12,14,15;5,6,3,8,4,9,13,11,1,2,7,10,12,15,14;6,3,8,11,9,4,5,2,7,15,14,1,10,12,13;9,5,7,14,10,6,3,8,11,4,2,1,12,15,13
8,12,9,14,5,6,15,11,3,1,2,7,10,13,4;8,12,9,15,14,7,3,2,6,5,10,1,11,4,13;8,9,12,14,7,15,2,3,10,5,6,1,11,4,13;8,14,12,9,15,7,3,2,5,10,6,11,1,4,13;8,12,14,9,7,15,3,2,10,6,1,11,4,13,5;12,8,14,9,15,7,2,3,6,10,11,1,4,13,5
12,11,8,14,4,10,3,2,5,6,9,13,7,15,1;8,2,3,10,15,5,11,6,4,9,12,13,1,14,7;12,11,14,13,4,8,9,3,2,5,6,15,10,1,7;11,13,14,12,6,2,8,9,4,5,3,10,15,1,7;12,11,13,14,4,9,10,8,2,3,5,6,1,7,15;4,14,13,12,11,6,1,5,2,10,15,9,3,7,8
12,14,13,11,4,10,6,3,15,5,9,8,2,7,1;9,8,2,10,1,3,5,6,15,4,12,14,13,11,7;9,8,1,10,2,3,6,5,4,15,12,14,13,11,7;2,10,9,8,1,3,6,5,12,15,4,14,13,11,7;12,14,13,11,4,6,3,10,15,5,9,8,2,7,1;14,12,13,4,11,6,3,10,15,5,9,8,2,7,1
5,9,2,8,10,3,6,15,7,11,1,14,13,4,12;2,5,9,8,10,3,6,15,7,11,1,14,13,4,12;5,2,9,8,10,3,6,15,7,11,1,14,13,4,12;2,9,8,10,3,6,15,7,5,11,1,14,13,4,12;5,11,2,9,8,10,3,6,15,7,1,14,13,4,12;5,11,3,6,1,14,13,4,12,2,9,8,10,15,7
14,6,3,15,11,1,12,5,8,9,4,13,7,10,2;15,3,6,5,10,2,7,8,9,14,1,11,12,4,13;8,9,14,1,11,15,3,6,12,4,13,5,10,2,7;10,2,7,15,3,8,9,6,5,1,11,14,4,13,12;12,14,1,11,6,5,3,15,8,9,4,13,10,2,7;6,15,3,4,13,14,1,11,5,10,2,8,9,12,7
12,4,13,14,9,10,2,8,6,3,11,5,7,15,1;10,2,9,12,4,13,14,8,6,3,11,5,7,15,1;12,4,13,14,9,10,2,8,6,3,11,5,7,15,1;12,4,13,14,9,10,2,8,6,3,11,5,7,15,1;12,4,13,14,9,10,2,8,6,3,11,5,7,15,1;12,4,13,14,9,10,2,8,6,3,11,5,7,15,1
13,4,12,14,11,6,3,9,5,2,10,8,15,7,1;12,3,9,2,10,8,6,7,5,14,11,13,15,4,1;2,10,5,9,8,3,6,13,4,11,12,14,7,15,1;2,10,5,9,8,3,6,13,4,11,12,14,7,15,1;13,4,14,12,11,3,6,15,9,2,10,5,8,7,1;13,4,12,14,11,3,6,15,9,2,10,5,8,7,1
9,12,14,2,8,7,15,6,3,4,1,13,10,11,5;12,14,4,13,8,9,2,6,3,15,1,11,5,7,10;12,14,9,8,6,4,13,15,3,2,7,11,1,5,10;9,2,8,10,1,5,7,12,14,4,6,3,15,13,11;9,12,14,2,8,4,6,15,3,13,1,7,5,10,11;12,14,4,6,15,3,13,9,8,2,7,1,5,10,11
7,8,2,9,10,12,13,14,1,3,6,15,4,5,11;2,8,9,10,7,12,13,14,1,3,6,15,4,5,11;7,8,2,9,10,12,13,14,1,3,6,15,4,5,11;2,8,9,10,7,12,13,14,1,3,6,15,4,5,11;7,8,2,9,10,12,13,14,1,3,6,15,4,5,11;12,13,14,1,3,6,15,2,8,9,10,7,4,5,11
3,6,14,7,12,11,15,2,10,5,4,13,8,9,1;7,2,10,3,5,6,11,1,8,9,4,13,15,14,12;10,2,3,6,7,8,9,5,12,13,15,4,11,1,14;10,2,5,8,9,7,3,11,12,14,4,13,6,15,1;14,12,11,6,5,13,4,3,15,2,10,7,8,9,1;4,5,3,12,8,9,6,11,14,7,13,2,10,15,1
14,6,3,7,12,11,15,2,10,5,4,13,8,9,1;7,3,2,10,5,6,11,1,9,8,4,13,12,14,15;10,2,3,6,7,8,9,5,1,11,12,14,13,4,15;10,2,5,8,9,7,3,11,12,14,4,13,6,15,1;14,12,11,6,5,13,4,3,15,2,10,7,8,9,1;12,13,4,14,8,9,6,11,7,3,2,10,5,15,1
12,7,9,8,10,2,14,6,15,3,11,5,13,4,1;2,10,7,9,8,15,6,3,12,14,5,11,13,4,1;6,15,3,12,14,11,13,4,9,8,2,10,7,5,1;12,6,15,3,11,14,9,8,2,10,5,4,13,7,1;12,6,15,3,7,11,14,9,8,2,10,5,4,13,1;12,11,14,9,8,2,10,5,4,13,6,15,3,7,1
8,2,7,9,10,11,14,12,5,13,4,1,3,15,6;2,7,10,8,5,9,1,11,12,14,13,4,3,15,6;11,9,8,14,12,4,13,5,1,2,10,7,6,3,15;8,9,14,4,7,12,11,5,2,1,13,10,6,3,15;8,14,11,9,12,5,13,4,10,6,2,1,7,15,3;11,14,12,8,4,9,5,7,2,13,10,6,1,3,15
2,10,9,8,1,3,7,13,12,6,4,5,11,14,15;2,10,9,8,1,3,7,13,6,15,11,5,12,14,4;2,10,9,8,3,1,13,7,6,15,5,12,14,4,11;2,10,9,8,1,3,7,13,6,15,11,5,12,14,4;2,10,9,8,1,3,12,4,13,7,6,15,14,11,5;13,14,12,4,2,10,9,8,1,3,7,6,15,11,5
11,14,13,5,15,6,3,9,7,12,2,10,4,8,1;10,2,3,7,1,15,6,5,8,9,11,13,14,4,12;10,2,9,8,7,14,15,6,3,1,13,5,12,4,11;10,2,9,8,7,3,14,6,15,1,5,13,12,4,11;11,14,13,12,6,5,9,8,2,10,15,4,3,1,7;11,14,13,12,6,5,9,8,2,10,15,4,3,1,7
2,7,10,13,4,1,8,11,6,12,9,3,15,14,5;2,7,10,13,4,1,8,11,6,14,9,3,15,5,12;2,7,9,3,11,13,1,4,10,5,12,14,15,6,8;2,11,3,1,9,4,7,12,8,10,13,5,14,15,6;6,8,10,12,1,4,13,2,9,5,15,11,7,3,14;4,13,5,9,12,7,15,2,1,11,3,14,10,6,8
2,10,7,5,3,6,15,8,9,14,12,11,13,1,4;2,8,9,10,15,5,3,7,14,12,11,13,4,6,1;2,10,15,14,9,5,3,6,8,7,12,11,13,4,1;2,8,9,10,15,3,6,7,5,4,14,12,13,11,1;14,2,7,8,9,10,15,3,6,5,12,13,11,4,1;14,2,7,8,9,10,15,3,6,5,12,13,11,4,1
6,3,2,10,12,14,15,7,5,1,11,8,9,4,13;2,3,14,6,15,12,10,7,5,1,11,8,9,4,13;2,10,3,6,14,15,12,7,5,1,11,8,9,4,13;6,3,2,10,12,14,15,7,5,1,11,8,9,4,13;2,10,3,14,12,6,15,7,5,1,11,8,9,4,13;14,6,15,2,10,12,3,7,1,4,5,8,9,11,13
3,10,2,5,7,9,12,14,15,6,11,13,1,4,8;3,10,2,5,7,9,12,14,15,6,11,13,1,4,8;2,10,3,9,5,7,12,14,8,4,11,13,6,15,1;2,10,3,9,5,7,12,14,8,4,11,13,6,15,1;3,10,2,5,7,9,12,14,15,6,11,13,1,4,8;3,5,12,13,14,6,15,7,11,2,10,4,9,8,1
