Bidder,Submission,Bid
spc-17,278,conflict
spc-17,280,conflict
spc-17,304,conflict
spc-17,355,conflict
spc-17,397,conflict
spc-17,33,maybe
spc-17,42,maybe
spc-17,47,maybe
spc-17,51,maybe
spc-17,96,maybe
spc-17,109,maybe
spc-17,115,maybe
spc-17,117,maybe
spc-17,150,maybe
spc-17,172,maybe
spc-17,176,maybe
spc-17,182,maybe
spc-17,208,maybe
spc-17,227,maybe
spc-17,244,maybe
spc-17,327,maybe
spc-17,350,maybe
spc-17,387,maybe
spc-17,414,maybe
spc-17,437,maybe
spc-17,458,maybe
spc-17,462,maybe
spc-17,486,maybe
spc-17,496,maybe
spc-17,35,yes
spc-17,46,yes
spc-17,72,yes
spc-17,164,yes
spc-17,200,yes
spc-17,205,yes
spc-17,212,yes
spc-17,213,yes
spc-17,240,yes
spc-17,253,yes
spc-17,255,yes
spc-17,262,yes
spc-17,319,yes
spc-17,321,yes
spc-17,322,yes
spc-17,339,yes
spc-17,354,yes
spc-17,363,yes
spc-17,381,yes
spc-17,396,yes
spc-17,405,yes
spc-17,442,yes
spc-17,466,yes
spc-17,487,yes
spc-17,493,yes
spc-17,500,yes
spc-17,505,yes
spc-18,233,conflict
spc-18,346,conflict
spc-18,70,maybe
spc-18,93,maybe
spc-18,108,maybe
spc-18,216,maybe
spc-18,255,maybe
spc-18,290,maybe
spc-18,294,maybe
spc-18,299,maybe
spc-18,302,maybe
spc-18,339,maybe
spc-18,436,maybe
spc-18,513,maybe
spc-18,59,yes
spc-18,215,yes
spc-18,245,yes
spc-18,470,yes
spc-19,9,conflict
spc-19,13,conflict
spc-19,20,conflict
spc-19,71,conflict
spc-19,86,conflict
spc-19,115,conflict
spc-19,224,conflict
spc-19,292,conflict
spc-19,354,conflict
spc-19,410,conflict
spc-19,437,conflict
spc-19,439,conflict
spc-19,503,conflict
spc-19,17,yes
spc-19,66,yes
spc-19,74,yes
spc-19,95,yes
spc-19,101,yes
spc-19,146,yes
spc-19,173,yes
spc-19,187,yes
spc-19,190,yes
spc-19,199,yes
spc-19,201,yes
spc-19,222,yes
spc-19,245,yes
spc-19,290,yes
spc-19,317,yes
spc-19,394,yes
spc-19,423,yes
spc-19,436,yes
spc-19,489,yes
spc-19,519,yes
spc-20,153,conflict
spc-20,492,conflict
spc-20,10,maybe
spc-20,43,maybe
spc-20,63,maybe
spc-20,64,maybe
spc-20,81,maybe
spc-20,114,maybe
spc-20,167,maybe
spc-20,230,maybe
spc-20,261,maybe
spc-20,266,maybe
spc-20,268,maybe
spc-20,276,maybe
spc-20,288,maybe
spc-20,311,maybe
spc-20,344,maybe
spc-20,357,maybe
spc-20,465,maybe
spc-20,476,maybe
spc-20,504,maybe
spc-20,112,yes
spc-20,155,yes
spc-20,181,yes
spc-20,226,yes
spc-20,331,yes
spc-20,494,yes
spc-20,510,yes
spc-21,19,maybe
spc-21,76,maybe
spc-21,105,maybe
spc-21,110,maybe
spc-21,163,maybe
spc-21,185,maybe
spc-21,189,maybe
spc-21,209,maybe
spc-21,259,maybe
spc-21,284,maybe
spc-21,388,maybe
spc-21,463,maybe
spc-21,470,maybe
spc-21,14,yes
spc-21,31,yes
spc-21,38,yes
spc-21,119,yes
spc-21,149,yes
spc-21,151,yes
spc-21,175,yes
spc-21,269,yes
spc-21,281,yes
spc-21,368,yes
spc-21,390,yes
spc-21,395,yes
spc-21,468,yes
spc-21,482,yes
spc-21,485,yes
spc-21,490,yes
spc-21,502,yes
spc-21,511,yes
spc-22,40,conflict
spc-22,17,maybe
spc-22,116,maybe
spc-22,134,maybe
spc-22,215,maybe
spc-22,236,maybe
spc-22,278,maybe
spc-22,290,maybe
spc-22,337,maybe
spc-22,408,maybe
spc-22,514,maybe
spc-22,66,yes
spc-22,101,yes
spc-22,198,yes
spc-22,201,yes
spc-22,210,yes
spc-22,228,yes
spc-22,260,yes
spc-22,292,yes
spc-22,348,yes
spc-22,402,yes
spc-22,423,yes
spc-22,440,yes
spc-22,473,yes
spc-22,489,yes
spc-23,1,conflict
spc-23,9,conflict
spc-23,332,conflict
spc-23,351,conflict
spc-23,114,maybe
spc-23,167,maybe
spc-23,226,maybe
spc-23,340,maybe
spc-23,344,maybe
spc-23,349,maybe
spc-23,380,maybe
spc-23,385,maybe
spc-23,421,maybe
spc-23,446,maybe
spc-23,456,maybe
spc-23,459,maybe
spc-23,472,maybe
spc-23,499,maybe
spc-23,83,yes
spc-23,195,yes
spc-23,221,yes
spc-23,232,yes
spc-23,248,yes
spc-23,263,yes
spc-23,277,yes
spc-23,310,yes
spc-23,336,yes
spc-23,365,yes
spc-23,400,yes
spc-23,471,yes
spc-23,498,yes
spc-23,508,yes
spc-24,133,maybe
spc-24,245,maybe
spc-24,307,maybe
spc-24,318,maybe
spc-24,5,yes
spc-24,93,yes
spc-24,130,yes
spc-24,146,yes
spc-24,159,yes
spc-24,294,yes
spc-24,303,yes
spc-24,331,yes
spc-24,409,yes
spc-24,422,yes
spc-24,475,yes
spc-24,514,yes
spc-24,515,yes
spc-25,429,conflict
spc-25,36,maybe
spc-25,299,maybe
spc-25,376,maybe
spc-25,455,maybe
spc-25,471,maybe
spc-25,222,yes
spc-25,225,yes
spc-25,226,yes
spc-25,338,yes
spc-25,340,yes
spc-25,357,yes
spc-25,400,yes
spc-25,430,yes
spc-26,3,conflict
spc-26,162,conflict
spc-26,273,maybe
spc-26,301,maybe
spc-26,382,maybe
spc-26,391,maybe
spc-26,398,maybe
spc-26,419,maybe
spc-26,483,maybe
spc-26,497,maybe
spc-26,40,yes
spc-26,189,yes
spc-26,235,yes
spc-26,261,yes
spc-26,300,yes
spc-26,345,yes
spc-26,369,yes
spc-26,378,yes
spc-26,413,yes
spc-26,448,yes
spc-27,28,conflict
spc-27,30,conflict
spc-27,100,conflict
spc-27,109,conflict
spc-27,212,conflict
spc-27,304,conflict
spc-27,314,conflict
spc-27,327,conflict
spc-27,396,conflict
spc-27,434,conflict
spc-27,42,maybe
spc-27,126,maybe
spc-27,200,maybe
spc-27,410,maybe
spc-27,414,maybe
spc-27,438,maybe
spc-27,442,maybe
spc-27,453,maybe
spc-27,462,maybe
spc-27,493,maybe
spc-27,524,maybe
spc-27,18,yes
spc-27,46,yes
spc-27,96,yes
spc-27,98,yes
spc-27,104,yes
spc-27,115,yes
spc-27,150,yes
spc-27,174,yes
spc-27,205,yes
spc-27,213,yes
spc-27,251,yes
spc-27,253,yes
spc-27,255,yes
spc-27,339,yes
spc-27,346,yes
spc-27,354,yes
spc-27,361,yes
spc-27,363,yes
spc-27,381,yes
spc-27,397,yes
spc-27,405,yes
spc-27,458,yes
spc-27,487,yes
spc-27,505,yes
spc-28,32,conflict
spc-28,164,conflict
spc-28,251,conflict
spc-28,319,conflict
spc-28,322,conflict
spc-28,339,conflict
spc-28,363,conflict
spc-28,443,conflict
spc-28,458,conflict
spc-28,24,maybe
spc-28,30,maybe
spc-28,33,maybe
spc-28,35,maybe
spc-28,47,maybe
spc-28,49,maybe
spc-28,51,maybe
spc-28,94,maybe
spc-28,96,maybe
spc-28,109,maybe
spc-28,115,maybe
spc-28,126,maybe
spc-28,150,maybe
spc-28,172,maybe
spc-28,205,maybe
spc-28,212,maybe
spc-28,213,maybe
spc-28,227,maybe
spc-28,238,maybe
spc-28,255,maybe
spc-28,350,maybe
spc-28,353,maybe
spc-28,358,maybe
spc-28,361,maybe
spc-28,414,maybe
spc-28,442,maybe
spc-28,453,maybe
spc-28,466,maybe
spc-28,486,maybe
spc-28,518,maybe
spc-28,524,maybe
spc-28,42,yes
spc-28,46,yes
spc-28,176,yes
spc-28,200,yes
spc-28,253,yes
spc-28,321,yes
spc-28,327,yes
spc-28,346,yes
spc-28,354,yes
spc-28,381,yes
spc-28,396,yes
spc-28,397,yes
spc-28,405,yes
spc-28,462,yes
spc-28,487,yes
spc-28,493,yes
spc-28,500,yes
spc-28,505,yes
spc-29,222,conflict
spc-29,432,conflict
spc-29,2,yes
spc-29,16,yes
spc-29,52,yes
spc-29,54,yes
spc-29,73,yes
spc-29,112,yes
spc-29,123,yes
spc-29,145,yes
spc-29,167,yes
spc-29,225,yes
spc-29,268,yes
spc-29,334,yes
spc-29,389,yes
spc-29,393,yes
spc-30,30,conflict
spc-30,8,yes
spc-30,10,yes
spc-30,11,yes
spc-30,16,yes
spc-30,43,yes
spc-30,63,yes
spc-30,71,yes
spc-30,82,yes
spc-30,83,yes
spc-30,88,yes
spc-30,114,yes
spc-30,118,yes
spc-30,131,yes
spc-30,143,yes
spc-30,167,yes
spc-30,173,yes
spc-30,178,yes
spc-30,181,yes
spc-30,195,yes
spc-30,197,yes
spc-30,221,yes
spc-30,226,yes
spc-30,232,yes
spc-30,236,yes
spc-30,239,yes
spc-30,242,yes
spc-30,248,yes
spc-30,290,yes
spc-30,293,yes
spc-30,311,yes
spc-30,312,yes
spc-30,338,yes
spc-30,340,yes
spc-30,344,yes
spc-30,349,yes
spc-30,359,yes
spc-30,368,yes
spc-30,376,yes
spc-30,380,yes
spc-30,385,yes
spc-30,400,yes
spc-30,403,yes
spc-30,418,yes
spc-30,419,yes
spc-30,420,yes
spc-30,425,yes
spc-30,429,yes
spc-30,438,yes
spc-30,463,yes
spc-30,471,yes
spc-30,476,yes
spc-30,504,yes
spc-30,508,yes
spc-30,520,yes
spc-31,28,conflict
spc-31,13,maybe
spc-31,25,maybe
spc-31,42,maybe
spc-31,97,maybe
spc-31,98,maybe
spc-31,117,maybe
spc-31,118,maybe
spc-31,164,maybe
spc-31,319,maybe
spc-31,321,maybe
spc-31,324,maybe
spc-31,325,maybe
spc-31,381,maybe
spc-31,410,maybe
spc-31,444,maybe
spc-31,449,maybe
spc-31,458,maybe
spc-31,487,maybe
spc-31,488,maybe
spc-31,493,maybe
spc-31,524,maybe
spc-31,18,yes
spc-31,30,yes
spc-31,64,yes
spc-31,102,yes
spc-31,104,yes
spc-31,120,yes
spc-31,147,yes
spc-31,200,yes
spc-31,253,yes
spc-31,282,yes
spc-31,314,yes
spc-31,327,yes
spc-31,339,yes
spc-31,354,yes
spc-31,355,yes
spc-31,360,yes
spc-31,421,yes
spc-31,432,yes
spc-31,462,yes
spc-31,466,yes
spc-31,510,yes
spc-31,518,yes
spc-32,124,conflict
spc-32,402,conflict
spc-32,472,conflict
spc-32,520,conflict
spc-32,14,maybe
spc-32,66,maybe
spc-32,84,maybe
spc-32,205,maybe
spc-32,226,maybe
spc-32,326,maybe
spc-32,333,maybe
spc-32,335,maybe
spc-32,338,maybe
spc-32,416,maybe
spc-32,434,maybe
spc-32,452,maybe
spc-32,459,maybe
spc-32,34,yes
spc-32,68,yes
spc-32,144,yes
spc-32,218,yes
spc-32,234,yes
spc-32,236,yes
spc-32,259,yes
spc-32,371,yes
spc-32,404,yes
spc-32,411,yes
spc-32,421,yes
spc-32,432,yes
spc-32,438,yes
spc-32,522,yes
spc-33,425,conflict
spc-33,43,maybe
spc-33,68,maybe
spc-33,69,maybe
spc-33,83,maybe
spc-33,97,maybe
spc-33,114,maybe
spc-33,138,maybe
spc-33,143,maybe
spc-33,145,maybe
spc-33,147,maybe
spc-33,226,maybe
spc-33,246,maybe
spc-33,249,maybe
spc-33,261,maybe
spc-33,326,maybe
spc-33,382,maybe
spc-33,404,maybe
spc-33,410,maybe
spc-33,426,maybe
spc-33,443,maybe
spc-33,477,maybe
spc-33,479,maybe
spc-33,504,maybe
spc-33,510,maybe
spc-33,73,yes
spc-33,112,yes
spc-33,131,yes
spc-33,155,yes
spc-33,181,yes
spc-33,193,yes
spc-33,217,yes
spc-33,268,yes
spc-33,334,yes
spc-33,400,yes
spc-33,465,yes
spc-33,494,yes
spc-34,3,conflict
spc-34,82,conflict
spc-34,177,conflict
spc-34,261,conflict
spc-34,273,conflict
spc-34,398,conflict
spc-34,37,maybe
spc-34,43,maybe
spc-34,55,maybe
spc-34,112,maybe
spc-34,113,maybe
spc-34,215,maybe
spc-34,236,maybe
spc-34,285,maybe
spc-34,301,maybe
spc-34,362,maybe
spc-34,379,maybe
spc-34,388,maybe
spc-34,419,maybe
spc-34,420,maybe
spc-34,426,maybe
spc-34,463,maybe
spc-34,468,maybe
spc-34,14,yes
spc-34,40,yes
spc-34,138,yes
spc-34,162,yes
spc-34,189,yes
spc-34,235,yes
spc-34,300,yes
spc-34,356,yes
spc-34,369,yes
spc-34,378,yes
spc-34,382,yes
spc-34,448,yes
spc-34,483,yes
spc-34,484,yes
spc-34,497,yes
spc-35,3,conflict
spc-35,60,conflict
spc-35,80,conflict
spc-35,132,conflict
spc-35,424,conflict
spc-35,26,maybe
spc-35,133,maybe
spc-35,134,maybe
spc-35,143,maybe
spc-35,154,maybe
spc-35,179,maybe
spc-35,199,maybe
spc-35,210,maybe
spc-35,215,maybe
spc-35,230,maybe
spc-35,294,maybe
spc-35,307,maybe
spc-35,320,maybe
spc-35,383,maybe
spc-35,423,maybe
spc-35,436,maybe
spc-35,489,maybe
spc-35,507,maybe
spc-35,17,yes
spc-35,45,yes
spc-35,48,yes
spc-35,66,yes
spc-35,74,yes
spc-35,101,yes
spc-35,127,yes
spc-35,128,yes
spc-35,130,yes
spc-35,140,yes
spc-35,146,yes
spc-35,148,yes
spc-35,192,yes
spc-35,196,yes
spc-35,198,yes
spc-35,222,yes
spc-35,245,yes
spc-35,278,yes
spc-35,287,yes
spc-35,302,yes
spc-35,303,yes
spc-35,337,yes
spc-35,352,yes
spc-35,394,yes
spc-35,399,yes
spc-35,467,yes
spc-35,473,yes
spc-35,519,yes
spc-36,115,conflict
spc-36,242,conflict
spc-36,267,conflict
spc-36,361,conflict
spc-36,434,conflict
spc-36,453,conflict
spc-36,518,conflict
spc-36,18,maybe
spc-36,24,maybe
spc-36,25,maybe
spc-36,28,maybe
spc-36,30,maybe
spc-36,46,maybe
spc-36,51,maybe
spc-36,94,maybe
spc-36,96,maybe
spc-36,109,maybe
spc-36,120,maybe
spc-36,147,maybe
spc-36,164,maybe
spc-36,176,maybe
spc-36,202,maybe
spc-36,227,maybe
spc-36,234,maybe
spc-36,238,maybe
spc-36,251,maybe
spc-36,255,maybe
spc-36,279,maybe
spc-36,289,maybe
spc-36,322,maybe
spc-36,328,maybe
spc-36,350,maybe
spc-36,397,maybe
spc-36,405,maybe
spc-36,410,maybe
spc-36,414,maybe
spc-36,457,maybe
spc-36,462,maybe
spc-36,466,maybe
spc-36,486,maybe
spc-36,487,maybe
spc-36,493,maybe
spc-36,496,maybe
spc-36,500,maybe
spc-36,524,maybe
spc-36,42,yes
spc-36,47,yes
spc-36,104,yes
spc-36,150,yes
spc-36,172,yes
spc-36,200,yes
spc-36,205,yes
spc-36,212,yes
spc-36,253,yes
spc-36,319,yes
spc-36,321,yes
spc-36,327,yes
spc-36,353,yes
spc-36,354,yes
spc-36,363,yes
spc-36,381,yes
spc-36,384,yes
spc-36,396,yes
spc-36,458,yes
spc-36,505,yes
spc-37,128,conflict
spc-37,149,conflict
spc-37,192,conflict
spc-37,215,conflict
spc-37,266,conflict
spc-37,303,conflict
spc-37,311,conflict
spc-37,436,conflict
spc-37,440,conflict
spc-37,470,conflict
spc-37,474,conflict
spc-37,489,conflict
spc-37,514,conflict
spc-37,1,maybe
spc-37,3,maybe
spc-37,15,maybe
spc-37,89,maybe
spc-37,179,maybe
spc-37,187,maybe
spc-37,191,maybe
spc-37,199,maybe
spc-37,207,maybe
spc-37,265,maybe
spc-37,290,maybe
spc-37,331,maybe
spc-37,376,maybe
spc-37,383,maybe
spc-37,398,maybe
spc-37,401,maybe
spc-37,464,maybe
spc-37,497,maybe
spc-37,512,maybe
spc-37,523,maybe
spc-37,9,yes
spc-37,17,yes
spc-37,26,yes
spc-37,41,yes
spc-37,44,yes
spc-37,45,yes
spc-37,48,yes
spc-37,66,yes
spc-37,67,yes
spc-37,74,yes
spc-37,101,yes
spc-37,111,yes
spc-37,116,yes
spc-37,127,yes
spc-37,130,yes
spc-37,133,yes
spc-37,134,yes
spc-37,140,yes
spc-37,143,yes
spc-37,146,yes
spc-37,148,yes
spc-37,154,yes
spc-37,158,yes
spc-37,159,yes
spc-37,160,yes
spc-37,165,yes
spc-37,166,yes
spc-37,171,yes
spc-37,194,yes
spc-37,196,yes
spc-37,198,yes
spc-37,201,yes
spc-37,210,yes
spc-37,222,yes
spc-37,228,yes
spc-37,236,yes
spc-37,245,yes
spc-37,258,yes
spc-37,260,yes
spc-37,278,yes
spc-37,287,yes
spc-37,292,yes
spc-37,294,yes
spc-37,302,yes
spc-37,306,yes
spc-37,307,yes
spc-37,309,yes
spc-37,317,yes
spc-37,318,yes
spc-37,320,yes
spc-37,337,yes
spc-37,347,yes
spc-37,352,yes
